0,Summer,1992,Barcelona,1992 Summer
1,Summer,2012,London,2012 Summer
2,Summer,1920,Antwerpen,1920 Summer
3,Summer,1900,Paris,1900 Summer
4,Winter,1988,Calgary,1988 Winter
5,Winter,1992,Albertville,1992 Winter
6,Winter,1994,Lillehammer,1994 Winter
7,Summer,1932,Los Angeles,1932 Summer
8,Winter,2002,Salt Lake City,2002 Winter
9,Summer,1952,Helsinki,1952 Summer
10,Winter,1980,Lake Placid,1980 Winter
11,Summer,2000,Sydney,2000 Summer
12,Summer,1996,Atlanta,1996 Summer
13,Summer,1912,Stockholm,1912 Summer
14,Summer,1924,Paris,1924 Summer
15,Winter,2014,Sochi,2014 Winter
16,Summer,1948,London,1948 Summer
17,Winter,1998,Nagano,1998 Winter
18,Winter,2006,Torino,2006 Winter
19,Summer,2008,Beijing,2008 Summer
20,Summer,2016,Rio de Janeiro,2016 Summer
21,Summer,2004,Athina,2004 Summer
22,Winter,1960,Squaw Valley,1960 Winter
23,Winter,1964,Innsbruck,1964 Winter
24,Winter,1984,Sarajevo,1984 Winter
25,Summer,1984,Los Angeles,1984 Summer
26,Summer,1968,Mexico City,1968 Summer
27,Summer,1972,Munich,1972 Summer
28,Summer,1988,Seoul,1988 Summer
29,Summer,1936,Berlin,1936 Summer
30,Winter,1952,Oslo,1952 Winter
31,Winter,1956,Cortina d'Ampezzo,1956 Winter
32,Summer,1956,Melbourne,1956 Summer
33,Summer,1960,Roma,1960 Summer
34,Summer,1928,Amsterdam,1928 Summer
35,Summer,1976,Montreal,1976 Summer
36,Summer,1980,Moskva,1980 Summer
37,Summer,1964,Tokyo,1964 Summer
38,Winter,2010,Vancouver,2010 Winter
39,Winter,1968,Grenoble,1968 Winter
40,Summer,1906,Athina,1906 Summer
41,Winter,1972,Sapporo,1972 Winter
42,Winter,1976,Innsbruck,1976 Winter
43,Winter,1924,Chamonix,1924 Winter
44,Summer,1904,St. Louis,1904 Summer
45,Winter,1928,Sankt Moritz,1928 Winter
46,Summer,1908,London,1908 Summer
47,Winter,1948,Sankt Moritz,1948 Winter
48,Winter,1932,Lake Placid,1932 Winter
49,Winter,1936,Garmisch-Partenkirchen,1936 Winter
50,Summer,1896,Athina,1896 Summer
51,Summer,1956,Stockholm,1956 Summer
